shipment_id,country_code,origin_region,destination_region,carrier_name,status,departure_time_local,departure_timezone,departure_time_utc,departure_dst,arrival_time_local,arrival_timezone,arrival_time_utc,arrival_dst,temperature_celsius,weight_kg,is_delayed,border_crossing,ts_arrival_before_departure,ts_duplicate_departure,ts_duplicate_arrival,region_origin_mismatch_country,region_dest_mismatch_country,is_delayed_status_inconsistent,border_crossing_inconsistent,key_field_empty,issue_count
NA-20260812-0003619,US,NM,VA,BlueRoute Freight,DELIVERED,2026-08-12T16:31:27,America/Los_Angeles,2026-08-12T23:31:27+00:00,True,2026-08-12T13:36:11,America/Toronto,2026-08-12T17:36:11+00:00,True,42.0,22618.04,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0011374,CA,ME,MD,Atlantic Bridge Transport,PICKED_UP,2026-08-12T17:20:53,America/Winnipeg,2026-08-12T22:20:53+00:00,True,2026-08-12T06:13:56,America/Halifax,2026-08-12T09:13:56+00:00,True,46.6,10514.08,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0002367,CA,HI,UT,Pacific Rim Express,DELAYED,2026-08-12T15:34:09,America/Los_Angeles,2026-08-12T22:34:09+00:00,True,2026-08-12T18:11:05,America/Los_Angeles,2026-08-13T01:11:05+00:00,True,-29.6,1752.03,False,False,False,False,True,True,True,True,False,False,4
NA-20260812-0005926,US,KY,NT,Pacific Rim Express,IN_TRANSIT,2026-08-12T18:45:16,Pacific/Honolulu,2026-08-13T04:45:16+00:00,False,2026-08-12T01:14:20,America/Regina,2026-08-12T07:14:20+00:00,False,40.4,11858.4,False,True,True,False,False,False,True,False,False,False,2
NA-20260812-0007173,CA,SK,IA,SwiftLine Freight,DELIVERED,2026-08-12T15:02:12,Pacific/Honolulu,2026-08-13T01:02:12+00:00,False,2026-08-12T11:18:34,America/Chicago,2026-08-12T16:18:34+00:00,True,-5.1,17169.49,False,True,True,False,False,False,True,False,False,False,2
NA-20260812-0003994,US,KS,NE,Northern Star Logistics,DELAYED,2026-08-12T18:41:42,America/Denver,2026-08-13T00:41:42+00:00,True,2026-08-12T23:04:08,America/Vancouver,2026-08-13T06:04:08+00:00,True,-25.2,3679.47,False,False,False,False,False,False,False,True,False,False,1
NA-20260812-0000581,US,CA,SD,Midwest Carriers,PICKED_UP,2026-08-12T18:06:01,America/Phoenix,2026-08-13T01:06:01+00:00,False,2026-08-12T17:02:48,America/Edmonton,2026-08-12T23:02:48+00:00,True,22.7,5612.56,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0009027,US,DC,NC,SwiftLine Freight,CUSTOMS_HOLD,2026-08-12T14:45:07,America/Los_Angeles,2026-08-12T21:45:07+00:00,True,2026-08-12T04:35:24,America/Winnipeg,2026-08-12T09:35:24+00:00,True,1.7,17147.02,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0000788,CA,MO,AZ,Atlantic Bridge Transport,PICKED_UP,2026-08-12T03:28:12,America/Los_Angeles,2026-08-12T10:28:12+00:00,True,2026-08-12T01:53:33,America/Anchorage,2026-08-12T09:53:33+00:00,True,-9.9,3919.46,False,False,True,False,True,True,True,False,False,False,4
NA-20260812-0004793,US,NH,PA,Trans-Canada Haulers,PICKED_UP,2026-08-12T12:48:22,America/New_York,2026-08-12T16:48:22+00:00,True,2026-08-12T07:30:25,America/New_York,2026-08-12T11:30:25+00:00,True,29.1,15267.26,False,False,True,False,True,False,False,False,False,False,2
NA-20260812-0001183,CA,NL,AZ,Pacific Rim Express,DELAYED,2026-08-12T14:20:14,America/New_York,2026-08-12T18:20:14+00:00,True,2026-08-12T07:45:41,America/Toronto,2026-08-12T11:45:41+00:00,True,-3.7,5927.64,False,True,True,False,False,False,True,True,False,False,3
NA-20260812-0005469,US,PE,NT,Atlantic Bridge Transport,DELIVERED,2026-08-12T16:30:58,America/Chicago,2026-08-12T21:30:58+00:00,True,2026-08-12T17:13:51,Pacific/Honolulu,2026-08-13T03:13:51+00:00,False,30.2,14046.16,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0000450,US,NE,WI,Atlantic Bridge Transport,DELAYED,2026-08-12T23:53:42,America/Anchorage,2026-08-13T07:53:42+00:00,True,2026-08-12T14:24:27,Pacific/Honolulu,2026-08-13T00:24:27+00:00,False,-2.2,19406.37,False,False,True,False,False,False,False,True,False,False,2
